127.0.0.1 - - [21/Jul/2016:22:05:51 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 13302
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 25109
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 35069
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/layout.css.xhtml;jsessionid=5F8384EE16A22EEDD49A6A0F91263A12?ln=algaworks HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/components.css.xhtml;jsessionid=5F8384EE16A22EEDD49A6A0F91263A12?ln=algaworks HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/custom.css.xhtml;jsessionid=5F8384EE16A22EEDD49A6A0F91263A12?ln=algaworks HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=5F8384EE16A22EEDD49A6A0F91263A12?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.css.xhtml;jsessionid=5F8384EE16A22EEDD49A6A0F91263A12?ln=primefaces&v=5.3 HTTP/1.1" 200 70952
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.js.xhtml;jsessionid=5F8384EE16A22EEDD49A6A0F91263A12?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=5F8384EE16A22EEDD49A6A0F91263A12?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/javax.faces.resource/javascripts/app.js.xhtml;jsessionid=5F8384EE16A22EEDD49A6A0F91263A12?ln=algaworks HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:55 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/logo.png.xhtml;jsessionid=5F8384EE16A22EEDD49A6A0F91263A12?ln=algaworks HTTP/1.1" 200 3582
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:56 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/fontawesome-webfont.eot.xhtml?ln=primefaces&v=5.3& HTTP/1.1" 200 60835
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:05:56 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/custom.css.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=algaworks HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/layout.css.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=algaworks HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/components.css.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=algaworks HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 25109
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 13301
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 35069
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.css.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=primefaces&v=5.3 HTTP/1.1" 200 70952
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.js.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/javax.faces.resource/javascripts/app.js.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=algaworks HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:31 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/logo.png.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=algaworks HTTP/1.1" 200 3582
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:32 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=5.3?v=4.3.0 HTTP/1.1" 200 56841
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:34 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:06:34 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:07:53 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:07:53 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:07:53 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/custom.css.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:07:53 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/components.css.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:07:53 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/layout.css.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:07:53 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.css.xhtml;jsessionid=D9EABA188876561098E53BDCA93B8AA7?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:48 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:48 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:48 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/custom.css.xhtml?ln=algaworks HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:48 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/layout.css.xhtml?ln=algaworks HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:48 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/components.css.xhtml?ln=algaworks HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:48 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:49 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:49 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 70952
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:49 -0300] "GET /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 12661
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:49 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/logo.png.xhtml?ln=algaworks HTTP/1.1" 200 3582
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:49 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:24:49 -0300] "GET /primefaces-responsivo/javax.faces.resource/javascripts/app.js.xhtml?ln=algaworks HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/layout.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/components.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/custom.css.xhtml?ln=algaworks HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:01 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/logo.png.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:01 -0300] "GET /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 12660
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:28:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/javascripts/app.js.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:42:17 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
