127.0.0.1 - - [23/Aug/2016:19:29:34 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:40 -0300] "GET /Vendas/produtos/CadastroProduto.xhtml HTTP/1.1" 200 14481
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:40 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml;jsessionid=B1C7E2DE853696F274FEC32F7748E5B0?ln=config HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:40 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:40 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:40 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=B1C7E2DE853696F274FEC32F7748E5B0?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:41 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml;jsessionid=B1C7E2DE853696F274FEC32F7748E5B0?ln=config HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:41 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=B1C7E2DE853696F274FEC32F7748E5B0?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:41 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml;jsessionid=B1C7E2DE853696F274FEC32F7748E5B0?ln=primefaces&v=6.0 HTTP/1.1" 200 75403
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:41 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml;jsessionid=B1C7E2DE853696F274FEC32F7748E5B0?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:41 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml;jsessionid=B1C7E2DE853696F274FEC32F7748E5B0?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:41 -0300] "GET /Vendas/javax.faces.resource/javascripts/jquery.maskMoney.js.xhtml;jsessionid=B1C7E2DE853696F274FEC32F7748E5B0?ln=config HTTP/1.1" 200 17683
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:41 -0300] "GET /Vendas/javax.faces.resource/javascripts/mascaraMoeda.js.xhtml;jsessionid=B1C7E2DE853696F274FEC32F7748E5B0?ln=config HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:41 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml;jsessionid=B1C7E2DE853696F274FEC32F7748E5B0?ln=config HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:41 -0300] "GET /Vendas/javax.faces.resource/images/logo.png.xhtml;jsessionid=B1C7E2DE853696F274FEC32F7748E5B0?ln=config HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:41 -0300] "GET /Vendas/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=6.0?v=4.6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:42 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:19:29:42 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
