127.0.0.1 - - [03/Nov/2016:09:27:41 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:43 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=config HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:43 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=config HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:43 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:43 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 34934
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:43 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:43 -0300] "GET /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 23689
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:43 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:43 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 29080
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:43 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:43 -0300] "GET /Vendas/javax.faces.resource/javascripts/jquery.maskMoney.js.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=config HTTP/1.1" 200 17683
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:44 -0300] "GET /Vendas/javax.faces.resource/javascripts/mascaraMoeda.js.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=config HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:44 -0300] "GET /Vendas/javax.faces.resource/javascripts/layout.js.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=config HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:44 -0300] "GET /Vendas/javax.faces.resource/javascripts/navegacao.js.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=config HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:44 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=config HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:44 -0300] "GET /Vendas/javax.faces.resource/images/logo.png.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=config HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:44 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A?ln=primefaces&v=6.0 HTTP/1.1" 200 75403
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:44 -0300] "GET /Vendas/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=6.0?v=4.6.1 HTTP/1.1" 200 70805
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:44 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:44 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:47 -0300] "POST /Vendas/clientes/CadastroCliente.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [03/Nov/2016:09:27:51 -0300] "POST /Vendas/clientes/CadastroCliente.xhtml;jsessionid=FA501CCCB6FC4058D7D9CC41C20CE81A HTTP/1.1" 200 209
