127.0.0.1 - - [05/Dec/2016:18:47:26 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:30 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml;jsessionid=563B02DA9017415CB33D552AD3A3A02E?ln=config HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:30 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml;jsessionid=563B02DA9017415CB33D552AD3A3A02E?ln=config HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:30 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 34934
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:30 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=563B02DA9017415CB33D552AD3A3A02E?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:30 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 29080
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:30 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml;jsessionid=563B02DA9017415CB33D552AD3A3A02E?ln=primefaces&v=6.0 HTTP/1.1" 200 75403
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:30 -0300] "GET /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 25170
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:30 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml;jsessionid=563B02DA9017415CB33D552AD3A3A02E?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:30 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml;jsessionid=563B02DA9017415CB33D552AD3A3A02E?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:30 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=563B02DA9017415CB33D552AD3A3A02E?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:31 -0300] "GET /Vendas/javax.faces.resource/javascripts/jquery.maskMoney.js.xhtml;jsessionid=563B02DA9017415CB33D552AD3A3A02E?ln=config HTTP/1.1" 200 17683
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:47:31 -0300] "GET /Vendas/javax.faces.resource/javascripts/mascaraMoeda.js.xhtml;jsessionid=563B02DA9017415CB33D552AD3A3A02E?ln=config HTTP/1.1" 200 175
