127.0.0.1 - - [07/Feb/2017:19:32:18 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=config HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=config HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 25284
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=config HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=primefaces&v=6.0 HTTP/1.1" 200 75403
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/javascripts/jquery.maskMoney.js.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=config HTTP/1.1" 200 17683
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/javascripts/mascaraMoeda.js.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=config HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/javascripts/layout.js.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=config HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/javascripts/navegacao.js.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=config HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/images/logo.png.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035?ln=config HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=6.0?v=4.6.1 HTTP/1.1" 200 70805
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:32:20 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:31 -0300] "POST /Vendas/clientes/CadastroCliente.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035 HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:33 -0300] "POST /Vendas/clientes/CadastroCliente.xhtml;jsessionid=2AE5DB4BF014FB221A5C4AE57C211035 HTTP/1.1" 200 6424
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/subcategorias/CadastroSubcategoria.xhtml HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/javascripts/jquery.maskMoney.js.xhtml?ln=config HTTP/1.1" 200 17683
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/javascripts/mascaraMoeda.js.xhtml?ln=config HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/javascripts/layout.js.xhtml?ln=config HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/javascripts/navegacao.js.xhtml?ln=config HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml?ln=config HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:33:55 -0300] "GET /Vendas/javax.faces.resource/images/logo.png.xhtml?ln=config HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:34:19 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:34:19 -0300] "GET /Vendas/produtos/CadastroProduto.xhtml HTTP/1.1" 200 15275
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:34:19 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:34:19 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:34:19 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:34:19 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:12 -0300] "GET /Vendas/categorias/CadastroCategoria.xhtml HTTP/1.1" 200 8037
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:12 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:12 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:12 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:12 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:12 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:17 -0300] "GET /Vendas/subcategorias/CadastroSubcategoria.xhtml HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:17 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:17 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:17 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:17 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:17 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:33 -0300] "POST /Vendas/subcategorias/CadastroSubcategoria.xhtml HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [07/Feb/2017:19:35:33 -0300] "GET /Vendas/Erro.xhtml HTTP/1.1" 404 1100
