127.0.0.1 - - [02/Mar/2017:11:39:19 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:39:21 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml;jsessionid=AF6179831423C3A1BD28FD9785B07822?ln=config HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:39:21 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml;jsessionid=AF6179831423C3A1BD28FD9785B07822?ln=config HTTP/1.1" 200 8929
0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:39:21 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=AF6179831423C3A1BD28FD9785B07822?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:39:21 -0300] "GET /Vendas/clientes/PesquisaClientes.xhtml HTTP/1.1" 200 15096
0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:39:21 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 34934
0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:39:21 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 29080
0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:39:21 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml;jsessionid=AF6179831423C3A1BD28FD9785B07822?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:39:22 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=AF6179831423C3A1BD28FD9785B07822?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:39:22 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml;jsessionid=AF6179831423C3A1BD28FD9785B07822?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:39:22 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml;jsessionid=AF6179831423C3A1BD28FD9785B07822?ln=config HTTP/1.1" 200 2711
